"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","regulation"
-3.49212945251892,8.06962373198861,-49.1534692354442,0,0,903.621444583992,"?|653553","DOWN"
-2.17052513465525,10.4994879605719,-47.3191604486657,0,0,851.058455053136,"ABCC1|4363","DOWN"
-3.11094678001343,6.38302529759261,-44.9162255736437,0,0,782.849998441827,"ACAP1|9744","DOWN"
-1.02623539403967,10.6519758507784,-44.3920090557648,0,0,768.085678935988,"ACBD3|64746","DOWN"
-2.72945915642252,6.29820106625015,-46.9657143698402,0,0,840.975748761958,"ACOT4|122970","DOWN"
-5.0770175518547,9.36757538832642,-88.3436137804296,0,0,2019.22784018342,"ACP5|54","DOWN"
-4.16938142376926,4.77838969908953,-52.4141899484225,0,0,997.834229118153,"ACSM3|6296","DOWN"
-1.40862142659264,13.17302059633,-50.5274592700749,0,0,943.217299793462,"ACTN4|81","DOWN"
-2.37460892868531,4.75704346450125,-49.652076761218,0,0,917.97050685197,"ACTR3C|653857","DOWN"
-1.57125582837943,11.490855575011,-43.2973884342105,0,0,737.408572913322,"ADAM15|8751","DOWN"
-9.11448139356849,12.6600483935414,-79.3506566973553,0,0,1773.2604117612,"ADAM6|8755","DOWN"
-2.75529268872302,8.38727670627006,-44.1528539313396,0,0,761.365262585215,"ADAM8|101","DOWN"
-3.18348240518108,7.26289877445735,-43.5149550011628,0,0,743.48881370406,"ADAMTS2|9509","DOWN"
-3.2806261738191,5.292433710334,-47.886583058172,0,0,867.277502650304,"ADAMTSL5|339366","DOWN"
-1.0561685818506,11.6094970855472,-49.1873504743757,0,0,904.595725071708,"ADIPOR1|51094","DOWN"
-4.80924962262899,6.81469463483954,-84.8641016811423,0,0,1925.1505151695,"ADM2|79924","DOWN"
-1.46477374376941,10.5159609564192,-63.7106223076647,0,0,1326.9027590449,"ADSS|159","DOWN"
-1.02074645971112,10.4039978126026,-46.1251966150162,0,0,817.064636232089,"AFTPH|54812","DOWN"
-2.6518824406325,9.72306109951814,-60.1023115067656,0,0,1221.82241680731,"AGPAT2|10555","DOWN"
-3.12472276252244,5.76823061807439,-44.2254917898934,0,0,763.405399613127,"AGPAT9|84803","DOWN"
-10.2478873457789,8.67535641998303,-71.7734461954645,0,0,1559.43615567862,"AGR2|10551","DOWN"
-2.68960316257051,10.4937468769029,-49.024977296992,0,0,899.927602049408,"AHR|196","DOWN"
-5.00594118878463,9.48981695077308,-84.7744870618483,0,0,1922.70892138287,"AIM1|202","DOWN"
