"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","regulation"
-5.035363136746,8.4512921404486,-53.8457829150642,0,0,1026.02464614095,"ADAM12|8038","DOWN"
-3.65080459237747,6.0347027582998,-54.3951184360687,0,0,1041.62152085301,"ADAMTS14|140766","DOWN"
-2.30131996096844,9.10700054896598,-47.7854590742058,0,0,854.93647915422,"ADCY7|113","DOWN"
-1.73679789592548,9.81196317149767,-44.6546614748707,0,0,767.827755715787,"AGPS|8540","DOWN"
-3.78916244146643,9.31256720307193,-56.652397800975,0,0,1105.76588958702,"ANLN|54443","DOWN"
-2.20879953932404,10.462481841203,-48.3920318647011,0,0,871.940894949616,"ANP32E|81611","DOWN"
-2.12348365540901,13.6192374087983,-47.6863148853616,0,0,852.160553716786,"ANXA2|302","DOWN"
-2.07608154890125,12.0280894192689,-45.1741276226055,0,0,782.194076771588,"ANXA2P2|304","DOWN"
-2.59027352152428,8.54100875379801,-46.5368555721548,0,0,820.053714188772,"ARHGAP11A|9824","DOWN"
-1.98573858901812,10.4617791215339,-53.6568563983496,0,0,1020.66249683454,"ARHGEF2|9181","DOWN"
-2.7696084133877,8.7239819657399,-50.3843095501334,0,0,928.015637050822,"ASF1B|55723","DOWN"
-3.73083213013934,8.5845561236173,-55.4299676675735,0,0,1071.02071029331,"ASPM|259266","DOWN"
-2.92474344122475,8.55019078741554,-53.6908882524936,0,0,1021.62831739539,"AURKA|6790","DOWN"
-3.31916570682809,7.64822280865515,-43.7220227290429,0,0,742.135397542995,"AURKB|9212","DOWN"
-1.42468110832168,9.53783143548162,-45.2341338721114,0,0,783.856053159968,"B3GNT2|10678","DOWN"
-3.11500499169673,8.26437474560274,-44.1981461700851,0,0,755.234951821724,"BIRC5|332","DOWN"
-2.72350631956546,7.32832204913443,-49.6870527565405,0,0,908.355234322389,"BLM|641","DOWN"
-2.94795320432276,6.85152561828437,-52.1057929543352,0,0,976.687447915073,"BRCA2|675","DOWN"
-2.95850232934728,6.51271771994716,-45.1852581197438,0,0,782.502317497305,"BRIP1|83990","DOWN"
-3.36874360816404,8.50313767097,-53.9897087407616,0,0,1030.11026290884,"BUB1|699","DOWN"
-2.79244807244094,8.36906819409915,-44.7553685136167,0,0,770.609882601679,"BUB1B|701","DOWN"
-2.84690345119514,7.09136150840925,-50.3613584143631,0,0,927.367945952317,"C11orf82|220042","DOWN"
-1.95283829046896,7.39991049447099,-48.9512224951227,0,0,887.647250641079,"C13orf34|79866","DOWN"
-2.94847960840024,6.63626606596332,-52.6448569837877,0,0,991.959972744049,"C17orf53|78995","DOWN"
-1.73107779848566,7.85721294645423,-48.003564487089,0,0,861.046649834054,"C1orf112|55732","DOWN"
-2.70538417524378,6.00442902860954,-45.0360923407203,0,0,778.372849522936,"C1orf135|79000","DOWN"
-3.83369438114544,8.04732441512653,-43.4331976685114,0,0,734.206673898655,"CA2|760","DOWN"
-2.43915415985067,11.3712510459729,-53.0604452721432,0,0,1003.7424982229,"CAPG|822","DOWN"
-3.42901573334739,6.97408003418169,-45.9746127551189,0,0,804.404630740179,"CASC5|57082","DOWN"
-2.49627239144323,7.9352754239439,-56.3928937451795,0,0,1098.38923539175,"CCDC109B|55013","DOWN"
-3.26365546489721,4.5969252033062,-44.5311427233373,0,0,764.41746329632,"CCDC150|284992","DOWN"
-1.59648121612034,8.75593124731496,-45.1300234324121,0,0,780.972852920126,"CCDC21|64793","DOWN"
-2.83559438857787,8.64884130993789,-46.9653399485879,0,0,832.005087685286,"CCNA2|890","DOWN"
-2.34784935759633,9.71681608448661,-46.4505662688793,0,0,817.6495045948,"CCNB1|891","DOWN"
-3.33185028371926,9.12674619200133,-48.3467415933635,0,0,870.670032838071,"CDC20|991","DOWN"
-2.38635074267042,10.3488875435105,-46.8533693221983,0,0,828.879948390704,"CDC25B|994","DOWN"
-2.76954813827333,6.24840136038253,-43.4259011771572,0,0,734.006550812828,"CDC25C|995","DOWN"
-2.48311470499162,7.61555226101446,-47.7504785614293,0,0,853.956950566799,"CDC7|8317","DOWN"
-3.48713142770969,6.8856311321765,-51.3798113328788,0,0,956.141230075044,"CDCA2|157313","DOWN"
-2.65951937453021,8.82182113488661,-44.3998126277237,0,0,760.79398706738,"CDCA5|113130","DOWN"
-2.70798627648267,8.54018158586607,-48.7985103055107,0,0,883.355182706274,"CDCA8|55143","DOWN"
-2.85201749755089,9.39423601748608,-49.5314526818205,0,0,903.97269283654,"CDK1|983","DOWN"
-2.74432055273036,7.15622951578614,-44.9087298774469,0,0,774.849451994552,"CDKN3|1033","DOWN"
-3.34524895161014,10.2576895991688,-54.2109309345681,0,0,1036.39116885123,"CENPF|1063","DOWN"
-3.45757060621527,5.50564201265968,-50.5027704682414,0,0,931.359215686222,"CENPI|2491","DOWN"
-2.96630416566333,6.46655062429646,-49.6377942011722,0,0,906.967645622033,"CENPK|64105","DOWN"
-1.52157248897891,7.56387523264478,-45.5221798644614,0,0,791.840818277208,"CENPL|91687","DOWN"
-3.71802689605281,8.41292571635112,-58.6614962981374,0,0,1162.86864412106,"CEP55|55165","DOWN"
-1.73218450912587,9.56645835417812,-45.1492750519719,0,0,781.50588782307,"CERK|64781","DOWN"
-3.10636661734751,8.94483157241145,-50.4519010925933,0,0,929.923305059753,"CIT|11113","DOWN"
-3.53408364984567,6.99962965858369,-55.3060850383331,0,0,1067.50037574854,"CKAP2L|150468","DOWN"
-2.18418082274435,9.70846551543665,-49.6305735297502,0,0,906.764258491749,"CKS1B|1163","DOWN"
-3.78956281979809,6.53529950031001,-50.9485730468241,0,0,943.950173447394,"CLSPN|63967","DOWN"
-3.72173865414799,9.4553168433866,-50.2710680171769,0,0,924.820257810992,"CTHRC1|115908","DOWN"
-1.43526971274176,7.97979337328718,-51.0773742922745,0,0,947.590235240339,"DCLRE1B|64858","DOWN"
-3.1235900107964,6.87711857526284,-51.447569062053,0,0,958.057693675513,"DIAPH3|81624","DOWN"
-3.63956817819977,8.03407812364708,-52.3215798357799,0,0,982.799480224496,"DLGAP5|9787","DOWN"
-3.35482274747481,4.30812935863797,-43.9232556584174,0,0,747.667547097963,"DLX4|1748","DOWN"
-1.56200733353507,10.7865232554748,-47.3243226412571,0,0,842.033797864264,"DNMT1|1786","DOWN"
-3.59408823994639,8.47392832487559,-64.2904659503941,0,0,1322.33729380866,"DTL|51514","DOWN"
-3.00300569030606,7.19349430618882,-47.6052909098421,0,0,849.892718102581,"E2F2|1870","DOWN"
-3.57043378476383,6.48519770192819,-51.2750453779834,0,0,953.178525601896,"E2F8|79733","DOWN"
-2.19857228021304,10.027703633283,-43.4763765545238,0,0,735.391134950076,"ECT2|1894","DOWN"
-4.67228456243306,6.31844818598145,-48.2383558481973,0,0,867.629465839678,"EGFL6|25975","DOWN"
-2.46789269867654,9.33467705842832,-55.4442491074431,0,0,1071.42655458796,"ELF4|2000","DOWN"
-2.54518290058985,6.26525510533325,-43.6070975949224,0,0,738.978880200352,"EME1|146956","DOWN"
-3.23315990689273,6.63615943396808,-52.8163840004321,0,0,996.822192590552,"ESCO2|157570","DOWN"
-3.54330819720498,8.00279386030441,-52.4432351644009,0,0,986.246218885818,"ESPL1|9700","DOWN"
-3.66384572302821,7.34285650237014,-54.7138098030176,0,0,1050.67316470248,"EXO1|9156","DOWN"
-1.69586325454772,10.3745769525978,-55.8808811316936,0,0,1083.83571083614,"FAM49B|51571","DOWN"
