"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","regulation"
-2.95172935768898,10.1842476864539,-45.8104189200489,0,0,800.286122864337,"ABCC5|10057","DOWN"
-3.19015664566036,5.67111344866062,-52.1370189691174,0,0,978.198008582345,"ADPRHL1|113622","DOWN"
-6.10351177272485,7.79714697472462,-46.1973187040538,0,0,811.053004114373,"ALDH3B2|222","DOWN"
-4.3970190265923,9.20993810812807,-66.3159228492491,0,0,1380.48905189593,"ANLN|54443","DOWN"
-2.73700432997912,8.51273486218514,-49.7715811448975,0,0,911.291358039978,"ARHGAP11A|9824","DOWN"
-4.48722263041175,8.45890489960942,-66.9050336444786,0,0,1397.04945104652,"ASPM|259266","DOWN"
-2.3809876528584,6.84567030046497,-44.3336601811603,0,0,759.37599213199,"ATAD5|79915","DOWN"
-4.80552355803625,5.61271573059065,-43.8106583942688,0,0,744.964531359054,"ATP6V1B1|525","DOWN"
-3.48865136224795,8.45621530239266,-65.5361598517826,0,0,1358.53501682929,"AURKA|6790","DOWN"
-3.83922312108181,7.5602560231698,-50.6749553271614,0,0,936.802260848833,"AURKB|9212","DOWN"
-5.98686396242402,6.7448183849119,-53.8790020766431,0,0,1027.64913221358,"B4GALNT4|338707","DOWN"
-5.27639858956142,6.40025848034067,-46.2591534965751,0,0,812.775522073267,"BARX2|8538","DOWN"
-5.80848947395308,6.10302268767836,-44.1027192452646,0,0,753.007078236717,"BCAS1|8537","DOWN"
-4.51008232097241,8.04049223910946,-64.4983371961228,0,0,1329.25887158996,"BIRC5|332","DOWN"
-2.35991184314205,7.37928674391672,-43.8203278155188,0,0,745.230583282844,"BLM|641","DOWN"
-1.71184903915344,6.87296933222066,-43.4494286784726,0,0,735.036268531529,"BRI3BP|140707","DOWN"
-3.42034440595289,6.43457521783003,-52.3611319076394,0,0,984.553232152436,"BRIP1|83990","DOWN"
-3.48449173901011,8.47806521954241,-56.5168596495773,0,0,1102.68218466767,"BUB1|699","DOWN"
-3.0292877473422,8.32633156377582,-49.7842038274403,0,0,911.647414017576,"BUB1B|701","DOWN"
-1.43935197054029,8.95348064290097,-44.3402118780597,0,0,759.556794958711,"BYSL|705","DOWN"
-3.45232440912886,6.99108022495933,-61.6565799930725,0,0,1248.81409716405,"C11orf82|220042","DOWN"
-2.64221674231421,7.0411299730838,-52.2221963534096,0,0,980.613129591832,"C12orf48|55010","DOWN"
-3.16460085652094,7.12841394011175,-44.0477547048897,0,0,751.492478569635,"C15orf42|90381","DOWN"
-2.66081449330837,6.67492979262038,-48.1115048190418,0,0,864.579081540859,"C17orf53|78995","DOWN"
-2.23005583766118,8.13257833746744,-48.0347893755221,0,0,862.426415017138,"C18orf45|85019","DOWN"
